titulo;preco_old;preco_new;link
101 primeiros desenhos - Unicórnios;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos---unicornios-L999-9788538094746?page=2&limit=96;
101 primeiros desenhos da Bíblia;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos-da-biblia-L999-9786555006650?page=2&limit=96;
101 reflexões que vão mudar sua forma de pensar;R$ 58,02;https://leitura.com.br/101-reflexoes-que-vao-mudar-sua-forma-de-pensar-L999-9786555605273?page=2&limit=96;
108 contos e parábolas orientais;R$ 46,40;https://leitura.com.br/108-contos-e-parabolas-orientais-L999-9788542216356?page=2&limit=96;
108 histórias para entender a atenção plena;R$ 41,42;https://leitura.com.br/108-historias-para-entender-a-atencao-plena-L999-9786555642896?page=2&limit=96;
10X;R$ 58,50;https://leitura.com.br/10x-L999-9788550807287?page=2&limit=96;
11 gols de placa;R$ 41,42;https://leitura.com.br/11-gols-de-placa-L999-9788501087621?page=2&limit=96;
111 ais;R$ 20,67;https://leitura.com.br/111-ais-L999-9788525410283?page=2&limit=96;
111 poemas para crianças;R$ 45,75;https://leitura.com.br/111-poemas-para-criancas-L999-9788525412898?page=2&limit=96;
1177 A.C. - O ano em que a civilização entrou em colapso;R$ 49,72;https://leitura.com.br/1177-ac---o-ano-em-que-a-civilizacao-entrou-em-colapso-L999-9786559573561?page=2&limit=96;
12 atitudes para viver feliz e em equilíbrio com o seu peso;R$ 53,87;https://leitura.com.br/12-atitudes-para-viver-feliz-e-em-equilibrio-com-o-seu-peso-L999-9786586551594?page=2&limit=96;
12 Brincadeiras Indígenas e Africanas;R$ 43,50;https://leitura.com.br/12-brincadeiras-indigenas-e-africanas-L999-9786555394788?page=2&limit=96;
12 dias para atualizar sua vida;R$ 37,02;https://leitura.com.br/12-dias-para-atualizar-sua-vida-L999-9788538303527?page=2&limit=96;
12 heróis;R$ 58,25;https://leitura.com.br/12-herois-L999-9788501088949?page=2&limit=96;
12 horas de sono com 12 semanas de vida;R$ 49,72;https://leitura.com.br/12-horas-de-sono-com-12-semanas-de-vida-L999-9788537808627?page=2&limit=96;
12 horas de terror;R$ 53,95;https://leitura.com.br/12-horas-de-terror-L999-9788526010444?page=2&limit=96;
12 horas para dizer eu te amo;R$ 58,02;https://leitura.com.br/12-horas-para-dizer-eu-te-amo-L999-9786556093802?page=2&limit=96;
